name,статус,причина,пар_ss,пар_base,пар_xdate,пар_карантин,вердикт_аудита,km2,res,bands,crs,lon,lat
689f315b7ed99649ec7f3389,использован полностью,,1,2,0,0,разметка подтверждена,0.817,0.0526,3,EPSG:31985,-35.556243,-9.476621
689f31967ed99649ec7f344c,не годен по паспорту,площадь 0.20 км² меньше 0.5,0,0,0,0,,0.199,0.0283,3,EPSG:31985,-35.263381,-9.106983
689f34199eae8285db23a952,не годен по паспорту,площадь 0.19 км² меньше 0.5,0,0,0,0,,0.193,0.0347,3,EPSG:31985,-35.7559,-9.593913
689f78610d4ff06c5c0ae1bf,не годен по паспорту,площадь 0.37 км² меньше 0.5,0,0,0,0,,0.373,0.046,3,EPSG:31985,-35.876885,-9.819401
689f83f60d4ff06c5c0af210,не годен по паспорту,площадь 0.09 км² меньше 0.5,0,0,0,0,,0.09,0.0313,3,EPSG:31985,-35.507401,-9.417117
689f8fde5678a44c65d01db2,использован полностью,,1,2,0,0,без структуры,0.788,0.0518,3,EPSG:31985,-35.23123,-9.035757
68a0b526d85096ff88d9a392,использован полностью,,3,6,0,0,без структуры,1.719,0.0317,3,EPSG:32615,-94.995641,33.680086
68a5b9e2e5584a0f62bf9c46,не годен по паспорту,площадь 0.20 км² меньше 0.5,0,0,0,0,,0.197,0.0491,3,EPSG:31984,-36.43749,-8.53194
68a8470d69066a121d9cb4aa,использован полностью,,3,6,0,0,проверено частично,2.024,0.0624,3,EPSG:3857,-35.2141,-9.004451
68a84c7469066a121d9cb9fa,использован частично,подложка: привязка не построена: нет валидных узлов,1,0,0,0,,0.628,0.0478,3,EPSG:31985,-35.335408,-9.226323
68a91e0b-3ff9-4d9f-be55-7d015bdf504b,использован полностью,,1,2,0,0,разметка подтверждена,1.151,0.063,3,EPSG:32635,,
68abb930da74beb6dcf43bd6,использован частично,подложка: узлов привязки 1 меньше 5,7,0,0,0,,4.019,0.0296,3,EPSG:32615,-94.986589,33.692801
68b9250f933f12d326a7642c,использован полностью,,5,66,0,0,разметка подтверждена,1.805,0.0315,3,EPSG:32614,,
68bc4648be6b4e088eefe907,использован полностью,,1,2,0,0,разметка подтверждена,0.851,0.04,3,EPSG:32719,-68.113227,-16.576655
68bce259dddc7bae46a43706,использован частично,подложка: узлов привязки 1 меньше 5,1,0,0,0,,0.851,0.04,1,EPSG:32719,-68.113227,-16.576655
68c065c8e43b2bcaa9829062,не годен по паспорту,площадь 0.22 км² меньше 0.5,0,0,0,0,,0.221,0.0376,3,EPSG:32614,,
68c785cff2fef56460dd3d64,использован частично,подложка: привязка не построена: нет валидных узлов,1,0,0,0,,1.414,0.026,3,EPSG:32615,-94.981864,33.696622
68c878221178cfdb43795304,не использован,привязка: привязка не построена: нет валидных узлов,0,0,0,0,,0.678,0.03,3,EPSG:32719,-67.538553,-14.434238
68cb1b6a800626fc89d79ac8,использован полностью,,15,12,0,0,разметка подтверждена,23.542,0.0491,3,EPSG:32611,,
68cb46b1800626fc89d7ebb2,использован полностью,,5,10,0,0,разметка подтверждена,1.834,0.036,3,EPSG:32614,,
68cb97cafea39f0ce18be995,использован полностью,,1,2,0,0,разметка подтверждена,1.259,0.0345,3,EPSG:32614,,
68cc42150fce059a9fdbd1c3,использован полностью,,1,2,0,0,разметка подтверждена,0.858,0.0357,3,EPSG:32614,,
68cdeff14b37dca55fe36fa8,использован полностью,,3,6,0,0,разметка подтверждена,1.588,0.0331,3,EPSG:32614,,
68cecb99bba38109e3899aea,использован полностью,,2,4,0,0,разметка подтверждена,3.347,0.0348,3,EPSG:32614,,
68d2f09d1936e008398c7831,не годен по паспорту,площадь 0.37 км² меньше 0.5,0,0,0,0,,0.37,0.0333,3,EPSG:32630,,
68d3f0af9b87c9c2af15c41d,использован полностью,,7,12,0,0,разметка подтверждена,3.732,0.0343,3,EPSG:27700,,
68d5298b7d6b45dd0f02b85d,не годен по паспорту,неметрический CRS: единицы сетки не метры,0,0,0,0,,0.0,0.0,3,EPSG:4326,-34.8417,-6.964793
68d84f55ebf438d412a5da02,не годен по паспорту,неметрический CRS: единицы сетки не метры,0,0,0,0,,0.0,0.0,3,EPSG:4326,-35.755584,-6.822684
68e0566ea6f66607c17f166f,использован полностью,,1,2,0,0,разметка подтверждена,1.215,0.0376,3,EPSG:32614,,
68e131340ee38fc46c2f90e9,не использован,привязка: привязка не построена: нет валидных узлов,0,0,0,0,,0.874,0.0292,3,EPSG:32618,,
68e131340ee38fc46c2f90ea,не годен по паспорту,площадь 0.47 км² меньше 0.5,0,0,0,0,,0.473,0.0341,3,EPSG:32618,,
68e131340ee38fc46c2f90f3,использован полностью,,1,2,0,0,разметка подтверждена,0.995,0.0286,3,EPSG:32618,,
68e17e9f0ee38fc46c2fc7b7,не годен по паспорту,площадь 0.18 км² меньше 0.5,0,0,0,0,,0.182,0.0238,3,EPSG:32618,,
68e1c1880ee38fc46c2fff7e,использован частично,подложка: узлов привязки 1 меньше 5,3,0,0,0,,0.597,0.0364,3,EPSG:32614,,
68e1cfc20ee38fc46c300e21,использован частично,подложка: узлов привязки 4 меньше 5,3,0,0,0,,0.575,0.0365,3,EPSG:32614,,
68e309d10786cc228414ad5d,использован частично,подложка: узлов привязки 2 меньше 5,2,0,0,0,,2.316,0.0339,3,EPSG:32614,,
68e3eaccc4f2002ebf53d0f1,не годен по паспорту,площадь 0.21 км² меньше 0.5,0,0,0,0,,0.21,0.05,3,EPSG:32638,44.564008,40.181125
68e58ef7ebe9b7512f83a14e,не годен по паспорту,разрешение 0.11 м/пкс грубее 0.1,0,0,0,0,,0.701,0.1116,3,EPSG:32618,,
68e773475f0218d92b9f5658,не годен по паспорту,площадь 0.14 км² меньше 0.5,0,0,0,0,,0.135,0.046,3,EPSG:32756,150.736176,-23.09975
68ed7269d0b6fccde372fea1,не годен по паспорту,площадь 0.30 км² меньше 0.5,0,0,0,0,,0.298,0.032,3,EPSG:32614,,
68ed82662f4ad9f7ebf6135f,не годен по паспорту,площадь 0.20 км² меньше 0.5,0,0,0,0,,0.202,0.0325,3,EPSG:32614,,
68f0023b077903b80970f9c1,не использован,привязка: привязка не построена: нет валидных узлов,0,0,0,0,,0.821,0.035,3,EPSG:32614,,
68f07bb5e33d981a421a09a6,использован полностью,,4,8,0,0,разметка подтверждена,1.583,0.0453,3,EPSG:32610,,
68f3d63137c118f529c05180,использован полностью,,5,10,0,0,разметка подтверждена,7.068,0.0339,3,EPSG:32614,,
68f6d330d624af70a7ed8dec,использован полностью,,6,12,0,0,разметка подтверждена,2.917,0.0389,3,EPSG:32614,,
68f87b3207721088e158f1bc,использован полностью,,2,4,0,0,разметка подтверждена,0.827,0.0332,3,EPSG:32614,,
68f9ccce631d9ba1ce09666e,использован полностью,,2,4,0,0,разметка подтверждена,0.984,0.0344,3,EPSG:32614,,
68fa87b59f85f316d847d24e,не годен по паспорту,площадь 0.05 км² меньше 0.5,0,0,0,0,,0.046,0.0272,3,EPSG:32619,,
69069f5231709507115b581e,использован частично,подложка: привязка не построена: нет валидных узлов,1,0,0,0,,0.569,0.04,3,EPSG:32719,-67.623338,-16.329103
6906a74e31709507115b5cf5,использован частично,подложка: привязка не построена: нет валидных узлов,1,0,0,0,,0.501,0.04,3,EPSG:32719,-67.606513,-16.343212
690a93b40b4b986f96d1c071,использован частично,подложка: привязка не построена: нет валидных узлов,1,0,0,0,,0.593,0.04,3,EPSG:32719,-67.639069,-16.30263
690a99740b4b986f96d1c9c8,использован частично,подложка: привязка не построена: нет валидных узлов,1,0,0,0,,0.569,0.04,3,EPSG:32719,-67.623338,-16.329103
690aa3eb0b4b986f96d1dc2b,использован частично,подложка: привязка не построена: нет валидных узлов,1,0,0,0,,0.501,0.04,3,EPSG:32719,-67.606513,-16.343212
690aa5240b4b986f96d1de19,не годен по паспорту,площадь 0.47 км² меньше 0.5,0,0,0,0,,0.472,0.05,3,EPSG:32719,-67.785031,-16.202181
69132f0213d15fb353190f6b,не годен по паспорту,площадь 0.03 км² меньше 0.5,0,0,0,0,,0.032,0.0114,3,EPSG:4026,27.612212,47.327984
6915c52a1c1818790505ae06,не годен по паспорту,площадь 0.21 км² меньше 0.5,0,0,0,0,,0.213,0.05,3,EPSG:32632,8.547785,47.3875
69210ec4ea6ea70d0301df8a,использован частично,подложка: узлов привязки 2 меньше 5,7,0,0,0,,2.147,0.0472,3,EPSG:6561,,
6921274aea6ea70d0301efb1,использован частично,подложка: узлов привязки 4 меньше 5,13,0,0,0,,18.569,0.088,3,EPSG:6561,,
6928721391c613880e1d1e02,не годен по паспорту,неметрический CRS: единицы сетки не метры,0,0,0,0,,0.0,0.0,3,EPSG:4326,,
692b2cc02183424759910c91,не годен по паспорту,неметрический CRS: единицы сетки не метры,0,0,0,0,,0.0,0.0,3,EPSG:4326,27.591893,47.156011
692b626e2183424759912e91,не использован,привязка: привязка не построена: нет валидных узлов,0,0,0,0,,0.802,0.03,3,EPSG:32719,-67.538585,-14.434324
6935791ffb54374c3a42c3ad,не годен по паспорту,площадь 0.17 км² меньше 0.5,0,0,0,0,,0.17,0.03,3,EPSG:32719,-68.092381,-16.539731
69358264fb54374c3a42c843,не годен по паспорту,площадь 0.17 км² меньше 0.5,0,0,0,0,,0.17,0.03,1,EPSG:32719,-68.092381,-16.539731
6938d02a2fa9316b6b1a13c0,не годен по паспорту,площадь 0.36 км² меньше 0.5,0,0,0,0,,0.358,0.0276,3,EPSG:32619,,
694079b04675445a774383c5,не годен по паспорту,неметрический CRS: единицы сетки не метры,0,0,0,0,,0.0,0.0,3,EPSG:4326,-47.731241,-22.128613
6951544c9ec18574a42c647c,использован полностью,,1,2,0,0,разметка подтверждена,0.566,0.0698,3,EPSG:32632,,
69550f7abc2246a0f0398cec,использован частично,подложка: узлов привязки 2 меньше 5,3,0,0,0,,0.865,0.0221,3,EPSG:32632,,
695be452f3520985c7cea3ae,не годен по паспорту,площадь 0.21 км² меньше 0.5,0,0,0,0,,0.212,0.0588,3,EPSG:32760,174.70555,-36.87776
6960e4e7f59cde0567705b95,не годен по паспорту,площадь 0.22 км² меньше 0.5,0,0,0,0,,0.222,0.0209,3,EPSG:32632,6.644529,46.392714
696d527c1576d751efb3b1f5,не годен по паспорту,площадь 0.11 км² меньше 0.5,0,0,0,0,,0.11,0.05,3,EPSG:32635,24.185142,41.75116
696f939d6d88d08a76d1eb73,не годен по паспорту,разрешение 0.60 м/пкс грубее 0.1,0,0,0,0,,37.992,0.6,4,EPSG:26911,,
698ed40a5f422a5876cfde5e,не годен по паспорту,площадь 0.11 км² меньше 0.5,0,0,0,0,,0.112,0.05,3,EPSG:32610,,
6995d772b97d91551cab1e46,использован частично,подложка: привязка не построена: нет валидных узлов,1,0,0,0,,0.688,0.03,3,EPSG:32719,-68.323902,-16.628151
699b4231f956718c12e9f797,использован полностью,,1,2,0,0,разметка подтверждена,0.668,0.0349,3,EPSG:32615,-95.938396,35.888948
699c053245abfd81d2f37089,использован частично,подложка: привязка не построена: нет валидных узлов,3,0,0,0,,2.309,0.05,3,EPSG:3067,,
699ed67c3cdea6ccf532f4f9,не годен по паспорту,площадь 0.38 км² меньше 0.5,0,0,0,0,,0.377,0.0175,3,EPSG:3067,,
69a364ddbcd7017677f30865,не годен по паспорту,площадь 0.42 км² меньше 0.5,0,0,0,0,,0.417,0.0306,3,EPSG:32634,23.191457,45.346491
69a37752e1de1fc8304bc3ba,использован полностью,,1,2,0,0,разметка подтверждена,0.789,0.0274,3,EPSG:32632,,
69a599f10b6e2755bd7ea22b,использован полностью,,1,2,0,0,разметка подтверждена,0.546,0.04,3,EPSG:32719,-68.037455,-16.50498
69a84f24970e1272d3a0477e,использован частично,подложка: привязка не построена: нет валидных узлов,1,0,0,0,,0.546,0.04,1,EPSG:32719,-68.037455,-16.50498
69af227039d11e74fe7ed0cd,не годен по паспорту,площадь 0.19 км² меньше 0.5,0,0,0,0,,0.194,0.0401,3,EPSG:32614,-96.557175,32.658681
69b60198d23b32c8c4cb0385,не годен по паспорту,площадь 0.03 км² меньше 0.5,0,0,0,0,,0.026,0.0104,3,EPSG:32632,,
69c059f2f9ab3980e7c354e3,использован частично,подложка: узлов привязки 1 меньше 5,3,0,0,0,,2.414,0.05,3,EPSG:3067,,
69d0290d9cbda12739672676,не годен по паспорту,площадь 0.22 км² меньше 0.5,0,0,0,0,,0.224,0.0105,3,EPSG:32632,,
69d61d83010f61702bf4eeaa,не годен по паспорту,площадь 0.16 км² меньше 0.5,0,0,0,0,,0.156,0.0235,3,EPSG:32618,,
69d6b4cb9415aba327dd7486,использован полностью,,1,2,0,0,разметка подтверждена,0.656,0.0293,3,EPSG:32632,,
69e977498ef0c373b0856ee2,не годен по паспорту,площадь 0.06 км² меньше 0.5,0,0,0,0,,0.06,0.0241,3,EPSG:32618,,
69f986b6cd7de8dda6f76eb6,использован полностью,,3,6,0,0,разметка подтверждена,2.004,0.0367,3,EPSG:32614,,
69faa4b890551a4dfc2c6446,использован полностью,,2,20,0,0,разметка подтверждена,0.941,0.032,3,EPSG:32614,,
69fc25d191e4ffdcf28ab7c3,использован полностью,,4,8,0,0,разметка подтверждена,1.443,0.0352,3,EPSG:32614,,
69fdce4aaab120a4ba936e12,не годен по паспорту,неметрический CRS: единицы сетки не метры,0,0,0,0,,0.0,0.0,3,EPSG:4326,,
69febbf183da835e6d590148,не годен по паспорту,площадь 0.32 км² меньше 0.5,0,0,0,0,,0.321,0.0364,3,EPSG:32614,,
6a03fd2f3533f0aa96651530,использован частично,подложка: узлов привязки 4 меньше 5,1,0,0,0,,0.794,0.0352,3,EPSG:32614,,
6a233bfc1b97dd165475e6b1,не годен по паспорту,площадь 0.31 км² меньше 0.5,0,0,0,0,,0.306,0.0315,3,"COMPD_CS[""WGS 84 / UTM zone 13N + EGM96 height"",PROJCS[""WGS 84 / UTM zone 13N"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-105],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""EPSG"",""32613""]],VERT_CS[""EGM96 height"",VERT_DATUM[""EGM96 geoid"",2005,AUTHORITY[""EPSG"",""5171""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Gravity-related height"",UP],AUTHORITY[""EPSG"",""5773""]]]",-105.05975,39.95454
6a263950d8decd50ab13567c,не годен по паспорту,площадь 0.36 км² меньше 0.5,0,0,0,0,,0.361,0.0373,3,EPSG:3857,,
6a26f25af1c2b55eb679e3d0,использован полностью,,9,12,0,0,разметка подтверждена,4.062,0.0308,3,EPSG:26917,,
6a26f376f1c2b55eb679e56b,не годен по паспорту,площадь 0.15 км² меньше 0.5,0,0,0,0,,0.154,0.0253,3,EPSG:32632,,
6a270aa65ce57183089ee416,использован частично,подложка: узлов привязки 2 меньше 5,3,0,0,0,,0.793,0.0325,3,EPSG:32632,,
6a274bb55ce57183089f33e1,использован полностью,,8,12,0,0,разметка подтверждена,4.049,0.05,3,EPSG:26917,,
6a3ad70aaccedc6bc0ba833e,не годен по паспорту,площадь 0.32 км² меньше 0.5,0,0,0,0,,0.316,0.0259,3,EPSG:32632,,
6a4b453d6332d6259311cf3d,не годен по паспорту,площадь 0.21 км² меньше 0.5,0,0,0,0,,0.208,0.0192,3,EPSG:32645,85.395562,27.618267
6a4e8448b3c436cbc5535670,использован полностью,,1,2,0,0,разметка подтверждена,0.774,0.0383,3,EPSG:32618,,
